"","EGFR","Hypoxia","JAK.STAT","MAPK","NFkB","PI3K","TGFb","TNFa","Trail","VEGF","p53"
"TCGA-D3-A51H",-0.742715829419481,-1.30180460480447,0.853052645188073,-0.766456238242323,1.8974649711835,0.0300595566567266,0.253206489520101,1.52345910457316,2.0918566250837,-0.547104337257472,0.0336793502952773
"TCGA-D3-A51K",0.130026315564603,-0.480407203551348,1.0209552777559,-2.4778932588063,-0.997711681302345,-1.61598679425568,-0.996120657144935,-1.10457886100364,1.00754537901976,0.130624860449963,-0.878255219963854
"TCGA-D3-A51N",1.09338258026531,0.888044169677691,1.66772511150708,0.662387948172427,1.37168918050637,-0.437769846882432,-1.08907145046599,1.44251069358732,0.823901810740541,-0.408581193973827,0.708085073181277
"TCGA-D3-A51T",-0.0971761700896412,-0.0877359057168385,-0.041824082971601,0.764138932080832,-0.163490402980529,-0.275673734167108,-0.636726856944923,-0.0213633880616883,-0.237314877645183,-0.79862671381119,-1.32820733962816
"TCGA-D3-A5GN",0.23013035068773,1.3992806814299,0.107297973774629,0.641692831034367,0.211275626072928,1.16103785870353,0.761012634554568,0.679372344403316,-0.19304237904807,-0.402878245195653,-0.591980491009945
"TCGA-D3-A8GB",-0.141634445960428,0.295233803350694,1.33738961569964,-0.560312499491313,1.41006432957772,-0.989925259649028,1.64108432813023,1.95331193034036,1.44542107514762,-0.426862399380285,0.603519513791051
"TCGA-D3-A8GC",0.00546662276784705,-0.968962616088789,-0.583154297152196,0.984030068946316,-0.396386314814436,0.84283108359919,-0.921403539493972,-0.697121505753465,-0.827129373117655,0.593453891471458,-1.1824327957298
"TCGA-D3-A8GD",-0.324804045788696,-0.2840869049814,2.15022941129214,-0.0224467662062346,1.50199716701484,-0.710352517322446,-0.787510461963137,1.01334476349633,1.11012241883821,-0.339403484044768,-0.215252643282095
"TCGA-D3-A8GE",-0.0143293836427175,-0.340820057087666,0.277627404179146,0.703468367558677,-0.285876056058294,1.58600601030503,1.9820055644077,-0.321514274291056,-0.352337492678038,-0.233848238658729,1.90450357546142
"TCGA-D3-A8GK",1.80472520216154,1.41621912970302,-1.61332052980817,1.06412461529207,-1.07017728026064,-0.235456362191345,-1.47612971887768,-1.30564395794609,-0.826200117632714,0.494025254928096,-0.211561053575753
"TCGA-D3-A8GM",-1.29229238894446,0.359690787833852,1.51150136972494,-0.663455984008738,0.857546487298725,0.776163153944076,-0.340515116626352,-0.0556290401579473,0.732638492803438,0.931748556103437,-0.235464039937698
"TCGA-D3-A8GN",0.0819328242099216,-0.423975460871821,0.764902693012883,-0.577430124492551,1.96267098792415,-1.00352842927009,0.0922995429163063,1.9633214785536,0.39314362222537,-0.566142005451736,0.298524100216407
"TCGA-D3-A8GP",-0.540714589947554,0.507976423751701,-0.979801477261053,-0.100526718742266,-1.52633861490068,-0.694556987338912,-1.45536210068246,-1.9545036800287,-1.37633506116994,-1.4112654857413,-0.0753475478473676
"TCGA-D3-A8GR",-0.948067707316829,-0.262277396602474,-0.0282618971506991,-0.790655967777124,-1.33411126297117,-2.27034921091173,-0.652762233805251,-1.04288574425025,-0.505620419482746,0.105267638381903,0.555724321212077
"TCGA-D3-A8GS",0.127846243310754,2.42059940384209,0.52032638949686,-0.0029463421095777,0.482075075887197,-1.08208967422891,-1.9676320906494,-0.0186628406265134,0.692992729079334,0.512820214172261,-0.00619371198961613
"TCGA-D3-A8GV",1.26434177011709,0.285040267030761,-0.721243042147642,0.447842530288549,-1.19880947359208,0.443974790541887,-1.26085530474196,-0.740099836858153,-0.321837108841765,-0.221649383557616,-0.337014674633192
"TCGA-D9-A148",-0.185828311604528,-0.468309231405566,-0.0689560552675436,0.0502919837295691,0.502234992208977,-1.63832204569512,-0.0859068517102361,0.521560896810433,0.590593091474761,0.0403502889087232,0.937166744426055
"TCGA-D9-A149",-0.840620954292924,-0.714240652773032,2.38843216601208,-0.515563824239806,0.415018976563974,-0.36424790897537,-1.00233567082936,-0.373257677357537,0.0621557169564525,0.149957752384627,-0.635434353837878
"TCGA-D9-A1JW",-0.375164010815098,-1.50942260654032,1.05023861647444,-1.43898127536768,0.249343072333893,-0.955695364572066,-0.736191735285587,-0.204267887378069,1.06109335281858,0.562228923834001,-0.37176628432395
"TCGA-D9-A1JX",-0.494776404072625,1.63036006099221,0.358991939275695,-0.0751315633066259,-0.0205474696696646,-0.0198622577855714,-0.844572647203181,-0.3731205282638,-0.117454924520452,-1.01956417128414,-0.339860140568604
"TCGA-D9-A1X3",-1.47375380443054,-0.895959983787965,-1.44200623067707,-0.863102057685216,-0.888947915049788,-0.349255194604276,-0.115399504722342,-0.76460104234135,-1.0442463507988,0.0792560971411944,-0.489805565264037
"TCGA-D9-A3Z4",-0.64346443179991,0.177517191929054,1.18923422124126,-0.0330553878477862,-0.1738396972276,-0.679118747981404,0.171142066889609,-0.13710148381165,-0.277523578954732,0.552670127389723,-0.299327191324386
"TCGA-D9-A4Z2",-0.337782490005984,-0.32193822037737,-0.780674515795518,0.27480194232966,-0.765429067007446,-0.513770683360773,-0.348768048044057,-0.331623733978759,-0.876517634108609,-0.0914077106235719,1.14711931634198
"TCGA-D9-A4Z3",0.0557165497801859,-1.760241179927,-1.64760723393951,1.08200295150369,-1.34800556368615,1.11786782406917,-1.03287949722934,-1.36249647977591,-1.07819181788389,-0.96419939835182,-0.513176529203169
"TCGA-D9-A4Z5",0.187730534930323,1.39413339981618,0.637862520037466,-0.0122649106508279,-0.125619802418387,-0.0828075536143197,0.133532737919801,0.137206738801053,-0.948477775053497,1.12224040835059,0.375146522252454
"TCGA-D9-A4Z6",-0.468079968300993,-1.15662631434488,-0.0982498449344366,-0.244584354287008,-0.5583942941458,-0.320990563409785,-0.292375756134741,-1.0414574148468,-1.52967538456193,0.766844377294676,-0.93867600181444
"TCGA-D9-A6EA",-0.0791550882608452,0.840850849019926,0.524542542119634,-0.160017274938161,-0.883223518566988,0.0370965230499641,-0.91489126172367,-0.734909437091084,0.162754384926756,2.46273896292835,-1.93092782340794
"TCGA-DA-A1HV",-0.289720009122283,0.135238997869214,1.18467954473986,-0.120736827637235,0.833144164798168,-0.468296946931838,-0.903072098576006,0.804447907812696,0.927066711869778,0.138784173319623,-0.535562701894088
"TCGA-DA-A1HW",0.21522863473512,-1.06870647869389,0.314628572218287,0.717079969674805,0.808952102528754,0.276452995038575,-0.58789434746559,0.159061760056906,0.7358560958054,-0.864765165567311,-1.07221037692621
"TCGA-DA-A1HY",1.56884665955863,1.16480711191098,0.662385994971511,2.28566343881712,0.174921432987094,1.89477767884931,0.637076498903081,1.03158219582628,-0.666402906682642,0.258995054413252,0.620266603095445
"TCGA-DA-A1I0",1.55735022809423,0.380205693624809,-1.24921203380833,-1.41563404864342,-0.308056527026093,-0.359032880337785,0.514545104425442,0.250190714834895,1.50489128259681,1.65980289850081,-0.304975941788589
"TCGA-DA-A1I2",-0.968443273174408,0.266086955427101,2.09413265150082,-0.405216135310704,-0.161262774444507,0.266723032388983,-0.240294365960088,-0.306245670807917,-0.360094058156725,-0.387493365348125,0.228398728699958
"TCGA-DA-A1I4",-0.0398592616862951,-0.44289201209243,0.00605519059170178,-0.101585196164069,-0.226505810630241,-0.169177275493184,1.0845537376796,0.886360836930032,0.521873707495968,0.0648234821914694,-0.00881956088624155
"TCGA-DA-A1I5",0.661598465845024,-0.303487470550092,0.232151976607811,0.338701473763406,1.54261797803069,-0.0609994117385825,0.692042754367551,1.77166687306921,1.73411927849136,0.276175717795952,-0.617183138851818
"TCGA-DA-A1I8",1.6590387899029,2.15732408482121,0.0482388396712347,1.81194101709991,-0.076976708401462,0.282054782399088,-0.62798254218419,0.857349949605466,-0.445218163694806,0.263653835941839,0.970161411311338
