"","CYT","IS","IPS","impres"
"TCGA-DA-A1I4",-0.514035191746934,-0.590919159150965,-1.15543114196506,-0.844064477975408
"TCGA-DA-A1I5",-0.105475930610386,1.00889264585473,-0.234948393770055,-0.844064477975408
"TCGA-DA-A1I8",-0.59401378310544,-1.12935460926184,-1.15543114196506,-1.62278202862369
"TCGA-DA-A1IA",-0.616043228039498,-1.14097551825704,0.685534354424955,-1.62278202862369
"TCGA-DA-A1IB",1.06534063051083,1.9463126381341,-0.234948393770055,2.27080572461771
"TCGA-DA-A1IC",-0.472005756726627,-0.629655522468294,-0.234948393770055,-1.62278202862369
"TCGA-DA-A3F2",4.4440677380949,1.88046082049464,0.685534354424955,1.49208817396943
"TCGA-DA-A3F3",-0.564651361930604,-0.509572796184573,1.60601710261996,-0.0653469273271279
"TCGA-DA-A3F5",-0.523952225470071,-1.07899733694931,-2.07591389016007,-0.0653469273271279
"TCGA-DA-A3F8",5.37134117206151,1.74100991255226,-0.234948393770055,-0.0653469273271279
"TCGA-EB-A1NK",-0.511067921370837,-0.823337339054941,-0.234948393770055,-0.0653469273271279
"TCGA-EB-A24C",-0.628894594310201,-1.18745915423784,-0.234948393770055,-0.844064477975408
"TCGA-EB-A24D",-0.449501134818796,-0.164819162660343,1.60601710261996,0.713370623321152
"TCGA-EB-A299",-0.37963841089911,-0.195808253314206,0.685534354424955,-1.62278202862369
"TCGA-EB-A3HV",-0.551760444725241,-0.962788246997326,-0.234948393770055,-1.62278202862369
"TCGA-EB-A3XB",-0.451555141659914,-0.269407343617132,0.685534354424955,-0.844064477975408
"TCGA-EB-A3XC",-0.498476740289821,-0.404984615227784,0.685534354424955,-0.0653469273271279
"TCGA-EB-A3XD",-0.219395408419349,0.745485375296895,0.685534354424955,0.713370623321152
"TCGA-EB-A3XE",-0.453839579844142,0.253533561166814,1.60601710261996,-0.0653469273271279
"TCGA-EB-A3XF",-0.443481791182905,0.493699013734255,0.685534354424955,-0.844064477975408
"TCGA-EB-A3Y6",-0.433616391808832,-0.203555525977672,1.60601710261996,-1.62278202862369
"TCGA-EB-A3Y7",-0.629019381447145,-1.03251370096852,-0.234948393770055,-0.0653469273271279
"TCGA-EB-A41A",-0.586212632773691,-0.687760067444288,0.685534354424955,-1.62278202862369
"TCGA-EB-A41B",-0.478851174925492,-0.95504097433386,-0.234948393770055,-0.0653469273271279
"TCGA-EB-A42Y",-0.53565364263181,-0.5715509774923,0.685534354424955,-0.0653469273271279
"TCGA-EB-A42Z",-0.51330632149773,-0.846579157045338,1.60601710261996,-1.62278202862369
"TCGA-EB-A430",-0.351689319575032,-0.0137473457227584,1.60601710261996,0.713370623321152
"TCGA-EB-A431",-0.577897821637463,-0.807842793728009,0.685534354424955,-0.0653469273271279
"TCGA-EB-A44N",-0.375177782852551,-0.0176209820544913,0.685534354424955,-0.0653469273271279
"TCGA-EB-A44O",-0.545229423159125,-1.18745915423784,-1.15543114196506,-0.844064477975408
"TCGA-EB-A44P",-0.427818080416355,-0.195808253314206,-0.234948393770055,0.713370623321152
"TCGA-EB-A44R",0.273411104288419,0.323259015138006,0.685534354424955,0.713370623321152
